Indicators	Hadlock	McLennan	Robinson	Sahota	Verburg	Intergrowth	Garbhini1
Sensitivity	0.65	0.623	0.613	0.693	0.711	0.717	0.747
Specificity	0.947	0.954	0.954	0.947	0.948	0.946	0.937
Pos Pred Value	0.675	0.723	0.723	0.67	0.68	0.665	0.602
Neg Pred Value	0.941	0.929	0.926	0.952	0.955	0.957	0.967
Precision	0.675	0.723	0.723	0.67	0.68	0.665	0.602
Recall	0.65	0.623	0.613	0.693	0.711	0.717	0.747
F1	0.662	0.67	0.664	0.681	0.695	0.69	0.667
Prevalence	0.145	0.162	0.165	0.135	0.134	0.13	0.113
Detection Rate	0.094	0.101	0.101	0.094	0.095	0.093	0.084
Detection Prevalence	0.14	0.14	0.14	0.14	0.14	0.14	0.14
Balanced Accuracy	0.798	0.789	0.783	0.82	0.829	0.832	0.842
