"eps = 0.2" "eps = 0.3" "eps = 0.4" "eps = 0.5" "eps = 0.6" "eps = 0.7" "eps = 0.8" "eps = 0.9" "eps = 1"
"minPts = 10" "1804, 8" "2083, 1" "2186, 3" "2330, 6" "2432, 4" "2494, 2" "2514, 1" "2534, 2" "2540, 1"
"minPts = 11" "1722, 5" "2073, 1" "2170, 3" "2291, 3" "2412, 6" "2478, 4" "2513, 1" "2526, 1" "2540, 1"
"minPts = 12" "1671, 6" "2051, 2" "2143, 2" "2260, 2" "2351, 3" "2467, 5" "2506, 1" "2522, 1" "2530, 1"
"minPts = 13" "1606, 6" "2035, 2" "2128, 1" "2247, 3" "2342, 3" "2444, 5" "2494, 2" "2520, 1" "2525, 1"
"minPts = 14" "1554, 5" "2009, 1" "2120, 1" "2210, 2" "2319, 2" "2395, 3" "2483, 2" "2517, 1" "2522, 1"
"minPts = 15" "1516, 6" "1995, 1" "2115, 1" "2208, 2" "2312, 2" "2377, 4" "2482, 2" "2517, 1" "2521, 1"
"minPts = 16" "1456, 6" "1977, 1" "2103, 1" "2202, 2" "2299, 2" "2358, 3" "2480, 4" "2511, 1" "2520, 1"
"minPts = 17" "1380, 6" "1949, 2" "2099, 1" "2188, 2" "2276, 1" "2322, 1" "2464, 5" "2508, 1" "2516, 1"
"minPts = 18" "1312, 8" "1929, 2" "2091, 1" "2169, 1" "2268, 2" "2321, 1" "2434, 4" "2499, 1" "2516, 1"
"minPts = 19" "1297, 9" "1909, 2" "2082, 1" "2165, 1" "2248, 1" "2316, 1" "2401, 3" "2491, 3" "2514, 1"
"minPts = 20" "1206, 9" "1861, 1" "2075, 1" "2156, 1" "2240, 2" "2310, 1" "2385, 3" "2461, 3" "2511, 1"
"minPts = 21" "1145, 8" "1854, 1" "2070, 1" "2156, 1" "2223, 2" "2307, 1" "2380, 3" "2439, 3" "2502, 1"
"minPts = 22" "1082, 6" "1836, 1" "2060, 1" "2152, 1" "2200, 1" "2301, 1" "2336, 1" "2407, 3" "2501, 1"
"minPts = 23" "1019, 7" "1819, 2" "2049, 1" "2151, 1" "2195, 1" "2293, 1" "2331, 1" "2403, 3" "2500, 1"
"minPts = 24" "924, 10" "1798, 2" "2032, 1" "2144, 1" "2192, 1" "2269, 1" "2327, 1" "2355, 1" "2495, 2"
"minPts = 25" "808, 8" "1774, 3" "2022, 1" "2139, 1" "2192, 1" "2255, 2" "2327, 1" "2353, 1" "2463, 3"
"minPts = 26" "647, 4" "1727, 2" "2011, 1" "2135, 1" "2192, 1" "2249, 2" "2321, 1" "2350, 1" "2452, 5"
"minPts = 27" "579, 2" "1700, 2" "1996, 2" "2125, 1" "2188, 1" "2245, 2" "2319, 1" "2349, 1" "2394, 2"
"minPts = 28" "566, 2" "1681, 3" "1970, 1" "2120, 1" "2181, 1" "2219, 1" "2317, 1" "2344, 1" "2365, 1"
"minPts = 29" "523, 1" "1625, 2" "1967, 1" "2119, 1" "2179, 1" "2218, 1" "2308, 1" "2340, 1" "2362, 1"
"minPts = 30" "508, 1" "1597, 2" "1956, 1" "2117, 1" "2174, 1" "2214, 1" "2301, 1" "2339, 1" "2361, 1"
"minPts = 31" "461, 1" "1583, 2" "1935, 1" "2116, 1" "2173, 1" "2211, 1" "2295, 1" "2337, 1" "2358, 1"
"minPts = 32" "452, 1" "1555, 3" "1922, 1" "2110, 1" "2172, 1" "2206, 1" "2292, 1" "2332, 1" "2357, 1"
"minPts = 33" "446, 1" "1543, 3" "1922, 1" "2106, 1" "2169, 1" "2205, 1" "2274, 1" "2329, 1" "2356, 1"
"minPts = 34" "388, 1" "1498, 3" "1916, 1" "2102, 1" "2167, 1" "2203, 1" "2273, 2" "2328, 1" "2352, 1"
"minPts = 35" "359, 1" "1469, 4" "1901, 1" "2101, 1" "2166, 1" "2201, 1" "2245, 1" "2327, 1" "2352, 1"
"minPts = 36" "357, 1" "1453, 5" "1885, 2" "2093, 1" "2166, 1" "2197, 1" "2242, 1" "2317, 1" "2348, 1"
"minPts = 37" "330, 1" "1414, 4" "1874, 2" "2093, 1" "2163, 1" "2196, 1" "2242, 1" "2302, 1" "2346, 1"
"minPts = 38" "318, 1" "1389, 4" "1851, 2" "2087, 1" "2161, 1" "2194, 1" "2242, 1" "2302, 1" "2344, 1"
"minPts = 39" "297, 1" "1365, 4" "1847, 2" "2079, 1" "2154, 1" "2189, 1" "2239, 1" "2285, 1" "2337, 1"
"minPts = 40" "282, 1" "1357, 4" "1834, 2" "2073, 1" "2147, 1" "2187, 1" "2239, 1" "2282, 1" "2335, 1"
