formula	R2	RMSE
ga ~ I(crl^1) + I(crl^2)	0.9267087052141667	0.8307084502922213
ga ~ I(crl^1) + I(crl^3)	0.9265624512962465	0.8310455751731316
ga ~ I(crl^0.5) + I(crl^1)	0.9265020655420955	0.8311779919233812
ga ~ I(crl^0.5) + I(log(crl^0.5))	0.9260656036675929	0.8330337498066678
ga ~ I(log(crl)) + I(crl^0.5)	0.9260656036675927	0.8330337498066677
ga ~ I(crl^1) + I(log(crl^1))	0.9259754929326551	0.8345020728426558
ga ~ I(log(crl)) + I(crl^1)	0.9259754929326549	0.8345020728426555
ga ~ I(crl^0.5) + I(crl^2)	0.92536281068873	0.8384833692989988
ga ~ I(crl^-0.5) + I(crl^1)	0.9249136227350618	0.8408743874658926
ga ~ I(crl^-0.5) + I(crl^0.5)	0.9247662700937769	0.8396182598017873
ga ~ I(crl^0.5) + I(crl^3)	0.9239336793406485	0.8457007333422494
ga ~ I(crl^-1) + I(crl^1)	0.9232920594288423	0.8488510894678489
ga ~ I(crl^-1) + I(crl^0.5)	0.9230615045747801	0.8483378651305177
ga ~ I(crl^-2) + I(crl^1)	0.9213252906907183	0.8614389381223677
ga ~ I(crl^-2) + I(crl^0.5)	0.9202297250785354	0.8641681508488694
ga ~ I(crl^1)	0.9195962465417976	0.8717835266914806
ga ~ I(crl^2) + I(log(crl^2))	0.9171046045338247	0.8828737610601534
ga ~ I(log(crl)) + I(crl^2)	0.9171046045338243	0.8828737610601535
ga ~ I(crl^0.5)	0.9167540421602078	0.8836390646333985
ga ~ I(crl^2) + I(crl^3)	0.9136376997950406	0.8998167662575896
ga ~ I(crl^-0.5) + I(log(crl))	0.908081065826456	0.9290304353676133
ga ~ I(crl^-0.5) + I(log(crl^-0.5))	0.9080810658264558	0.9290304353676133
ga ~ I(crl^3) + I(log(crl^3))	0.9060444066743343	0.9411621659200067
ga ~ I(log(crl)) + I(crl^3)	0.9060444066743343	0.9411621659200068
ga ~ I(crl^-0.5) + I(crl^2)	0.8989660318799702	0.9784684934921786
ga ~ I(crl^-1) + I(log(crl^-1))	0.8926388595285314	1.005200684228744
ga ~ I(crl^-1) + I(log(crl))	0.892638859528531	1.005200684228744
ga ~ I(crl^-1) + I(crl^2)	0.8747831968267776	1.0905263651465935
ga ~ I(crl^-0.5) + I(crl^3)	0.8669083373197837	1.1246997412772735
ga ~ I(crl^-2) + I(log(crl))	0.8658348558632185	1.1254078857223524
ga ~ I(crl^-2) + I(log(crl^-2))	0.8658348558632185	1.1254078857223524
ga ~ I(crl^-2) + I(crl^2)	0.8384294958076064	1.2338964257558862
ga ~ I(crl^-1) + I(crl^-0.5)	0.8316653632489359	1.259952729885194
ga ~ I(log(crl))	0.8233852419498483	1.2899464671062781
ga ~ I(crl^-1) + I(crl^3)	0.8145101985403786	1.3230561574203157
ga ~ I(crl^2)	0.8109160287491626	1.3341247492771746
ga ~ I(crl^-2) + I(crl^-0.5)	0.7554075820392179	1.5174830661929894
ga ~ I(crl^-2) + I(crl^3)	0.74124849666501	1.561703325439773
ga ~ I(crl^3)	0.6894006263659758	1.7064615783147772
ga ~ I(crl^-0.5)	0.6261640560566494	1.8777922584727014
ga ~ I(crl^-2) + I(crl^-1)	0.6231852986012325	1.8857681302106604
ga ~ I(crl^-1)	0.39828746719732966	2.3853493722660213
ga ~ I(crl^-2)	0.1418626016938025	2.852679225341727
