Method1	Method2	Fisher exact test p-value (Bonferroni corrected)
Hadlock	McLennan	1
Hadlock	Robinson	1
McLennan	Robinson	1
Hadlock	Sahota	1
McLennan	Sahota	1
Robinson	Sahota	0.9518581894681061
Hadlock	Verburg	1
McLennan	Verburg	1
Robinson	Verburg	0.7179255910666255
Sahota	Verburg	1
Hadlock	Intergrowth	1
McLennan	Intergrowth	0.5081130231071332
Robinson	Intergrowth	0.286877408490487
Sahota	Intergrowth	1
Verburg	Intergrowth	1
Hadlock	Garbhini1	0.34967710264912083
McLennan	Garbhini1	0.004072259144108853
Robinson	Garbhini1	0.0017731023994933192
Sahota	Garbhini1	1
Verburg	Garbhini1	1
Intergrowth	Garbhini1	1
Hadlock	LMP	1
McLennan	LMP	1
Robinson	LMP	1
Sahota	LMP	1
Verburg	LMP	1
Intergrowth	LMP	1
Garbhini1	LMP	1
